symbol,date,open,high,low,close,volume
GXH.NZ,2024-07-25,0.9,0.9,0.9,0.9,36523
GXH.NZ,2024-07-26,0.9,0.9,0.88,0.9,468
GXH.NZ,2024-07-29,0.88,0.9,0.88,0.9,30098
GXH.NZ,2024-07-30,0.9,0.9,0.88,0.88,11801
GXH.NZ,2024-07-31,0.88,0.9,0.88,0.88,5648
GXH.NZ,2024-08-01,0.88,0.88,0.85,0.87,19415
GXH.NZ,2024-08-02,0.87,0.87,0.85,0.85,1107
GXH.NZ,2024-08-05,0.87,0.87,0.8,0.8,4396
GXH.NZ,2024-08-06,0.78,0.78,0.76,0.78,65318
GXH.NZ,2024-08-07,0.78,0.8,0.78,0.8,3639
GXH.NZ,2024-08-08,0.8,0.8,0.79,0.79,17588
GXH.NZ,2024-08-09,0.8,0.8,0.8,0.8,9931
GXH.NZ,2024-08-12,0.8,0.82,0.8,0.82,2530
GXH.NZ,2024-08-13,0.82,0.84,0.82,0.82,476
GXH.NZ,2024-08-14,0.8,0.8,0.78,0.78,22284
GXH.NZ,2024-08-15,0.78,0.79,0.78,0.78,26915
GXH.NZ,2024-08-16,0.79,0.79,0.79,0.79,8331
GXH.NZ,2024-08-19,0.8,0.81,0.8,0.81,43175
GXH.NZ,2024-08-20,0.81,0.82,0.81,0.82,7610
GXH.NZ,2024-08-21,0.82,0.84,0.82,0.82,1250
GXH.NZ,2024-08-22,0.82,0.9,0.82,0.9,8728
GXH.NZ,2024-08-23,0.9,0.9,0.9,0.9,18290
GXH.NZ,2024-08-26,0.9,0.9,0.9,0.9,2416
GXH.NZ,2024-08-27,0.9,0.9,0.88,0.88,8725
GXH.NZ,2024-08-28,0.88,0.89,0.88,0.89,2239
GXH.NZ,2024-08-29,0.88,0.89,0.88,0.88,72423
GXH.NZ,2024-08-30,0.88,0.89,0.88,0.89,1459
GXH.NZ,2024-09-02,0.89,0.89,0.89,0.89,1326
GXH.NZ,2024-09-03,0.88,0.89,0.88,0.89,726
GXH.NZ,2024-09-04,0.85,0.86,0.85,0.86,5238
GXH.NZ,2024-09-05,0.85,0.85,0.83,0.83,534
GXH.NZ,2024-09-06,0.84,0.84,0.84,0.84,580
GXH.NZ,2024-09-09,0.85,0.85,0.85,0.85,10528
GXH.NZ,2024-09-10,0.85,0.85,0.85,0.85,0
GXH.NZ,2024-09-11,0.8,0.8,0.8,0.8,4580
GXH.NZ,2024-09-12,0.8,0.8,0.8,0.8,0
GXH.NZ,2024-09-13,0.81,0.82,0.81,0.82,748
GXH.NZ,2024-09-15,0.83,0.84,0.83,0.84,508
GXH.NZ,2024-09-16,0.82,0.82,0.82,0.82,0
GXH.NZ,2024-09-17,0.83,0.83,0.81,0.81,15714
GXH.NZ,2024-09-18,0.79,0.79,0.78,0.79,1074
GXH.NZ,2024-09-19,0.78,0.8,0.78,0.79,28265
GXH.NZ,2024-09-20,0.79,0.8,0.76,0.76,38735
